filename	bytes	url
C_WT_T_IGO_14361_3_S19_L001_R2_001.fastq.gz	2595865453	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161231/C_WT_T_IGO_14361_3_S19_L001_R2_001.fastq.gz
C_WT_T_IGO_14361_3_S19_L002_R1_001.fastq.gz	1111617409	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161232/C_WT_T_IGO_14361_3_S19_L002_R1_001.fastq.gz
C_WT_T_IGO_14361_3_S19_L002_R2_001.fastq.gz	2536411427	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161232/C_WT_T_IGO_14361_3_S19_L002_R2_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L001_R1_001.fastq.gz	2407467333	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161233/C_WT_T_IGO_14361_B_3_S4_L001_R1_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L001_R2_001.fastq.gz	5332279889	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161233/C_WT_T_IGO_14361_B_3_S4_L001_R2_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L002_R1_001.fastq.gz	2539222291	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161234/C_WT_T_IGO_14361_B_3_S4_L002_R1_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L002_R2_001.fastq.gz	5627715080	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161234/C_WT_T_IGO_14361_B_3_S4_L002_R2_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L003_R1_001.fastq.gz	2517142272	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161235/C_WT_T_IGO_14361_B_3_S4_L003_R1_001.fastq.gz
C_WT_T_IGO_14361_B_3_S4_L003_R2_001.fastq.gz	5568651965	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161235/C_WT_T_IGO_14361_B_3_S4_L003_R2_001.fastq.gz
D_WT_LA_IGO_14361_19_S63_L003_R1_001.fastq.gz	440976312	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161327/D_WT_LA_IGO_14361_19_S63_L003_R1_001.fastq.gz
D_WT_LA_IGO_14361_19_S63_L003_R2_001.fastq.gz	469862813	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161327/D_WT_LA_IGO_14361_19_S63_L003_R2_001.fastq.gz
D_WT_LA_IGO_14361_19_S63_L004_R1_001.fastq.gz	441823205	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161328/D_WT_LA_IGO_14361_19_S63_L004_R1_001.fastq.gz
D_WT_LA_IGO_14361_19_S63_L004_R2_001.fastq.gz	467084557	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161328/D_WT_LA_IGO_14361_19_S63_L004_R2_001.fastq.gz
D_WT_T_IGO_14361_4_S13_L001_R1_001.fastq.gz	423026119	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161236/D_WT_T_IGO_14361_4_S13_L001_R1_001.fastq.gz
D_WT_T_IGO_14361_4_S13_L001_R2_001.fastq.gz	905108186	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161236/D_WT_T_IGO_14361_4_S13_L001_R2_001.fastq.gz
D_WT_T_IGO_14361_4_S13_L002_R1_001.fastq.gz	419705793	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161237/D_WT_T_IGO_14361_4_S13_L002_R1_001.fastq.gz
D_WT_T_IGO_14361_4_S13_L002_R2_001.fastq.gz	899437227	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161237/D_WT_T_IGO_14361_4_S13_L002_R2_001.fastq.gz
D_WT_T_IGO_14361_4_S34_L001_R1_001.fastq.gz	1107827558	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161238/D_WT_T_IGO_14361_4_S34_L001_R1_001.fastq.gz
D_WT_T_IGO_14361_4_S34_L001_R2_001.fastq.gz	2495020356	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161238/D_WT_T_IGO_14361_4_S34_L001_R2_001.fastq.gz
D_WT_T_IGO_14361_4_S34_L002_R1_001.fastq.gz	1082128351	https://ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR14161239/D_WT_T_IGO_14361_4_S34_L002_R1_001.fastq.gz
